ID,Chinese,IPA,Done
0,你好，世界,ni˧˩˧ xɑʊ˧˩˧ ʂɨ˥˩ tɕiɛ˥˩,1
103,我爱中国,wo˧˩˧ aɪ˥˩ ʈʂʊŋ˥ kuɔ˧˥,1
104,语音识别技术,y˧˩˧ yin˥ ʂɨ˧˥ piɛ˧˥ tɕi˥˩ ʂu˥˩,1
105,北京是中国的首都,peɪ˧˩˧ tɕiŋ˥ ʂɨ˥˩ ʈʂʊŋ˥ kuɔ˧˥ tɤ ʂoʊ˧˩˧ tu˥,1
106,中文转音标测试,ʈʂʊŋ˥ wen˧˥ ʈʂuan˧˩˧ yin˥ piɑʊ˥ tsʰɤ˥˩ ʂɨ˥˩,1
107,机器学习很有趣,tɕi˥ tɕʰi˥˩ ɕue˧˥ ɕi˧˥ xən˧˩˧ you˧˩˧ tɕʰu˥˩,1
108,自然语言处理,tsɨ˥˩ ʐan˧˥ y˧˩˧ yan˧˥ ʈʂʰu˧˩˧ li˧˩˧,1
109,深度学习模型,ʂən˥ tu˥˩ ɕue˧˥ ɕi˧˥ mo˧˥ ɕiŋ˧˥,1
110,人工智能与大数据,ʐən˧˥ kʊŋ˥ ʈʂɨ˥˩ nəŋ˧˥ y˧˩˧ ta˥˩ ʂu˥˩ tɕu˥˩,1
111,计算机视觉研究,tɕi˥˩ suan˥˩ tɕi˥ ʂɨ˥˩ tɕue˧˥ yan˧˥ tɕioʊ˥,1
